suit_type position CR CD SV ATKR DEFR LIFER EH ER ATKV DEFV LIFEV
针女 1 17 0 0
针女 1 13 3 0
针女 1 11 0 0
针女 1 11 0 0
针女 1 11 0 6
针女 1 10 0 0
针女 1 8 0 3
针女 1 8 0 0
针女 1 8 0 3
针女 1 8 0 2
针女 1 8 0 0
针女 2 16 0 0
针女 2 11 7 2
针女 2 11 0 5
针女 2 8 0 3
针女 2 6 8 0
针女 2 6 0 3
针女 3 11 3 0
针女 3 11 0 0
针女 3 11 4 5
针女 3 10 0 0
针女 3 8 0 0
针女 3 8 0 0
针女 3 6 0 0
针女 3 5 3 0
针女 4 11 0 0
针女 4 6 7 0
针女 4 5 0 8
针女 5 13 0 3
针女 5 10 4 0
针女 5 9 7 0
针女 5 8 7 3
针女 5 8 0 0
针女 5 8 0 0
针女 5 5 0 2
针女 5 5 0 0
针女 6 5 89 0
针女 6 2 89 3
破势 1 9 0 0
破势 1 8 0 0
破势 1 8 0 3
破势 1 8 0 0
破势 1 8 0 0
破势 1 8 0 5
破势 1 8 0 0
破势 1 8 0 2
破势 1 6 8 3
破势 1 6 11 3
破势 1 6 0 0
破势 1 6 0 0
破势 1 5 11 8
破势 1 5 0 0
破势 1 5 15 0
破势 2 13 0 3
破势 2 11 0 0
破势 2 10 0 0
破势 2 8 0 0
破势 2 8 0 5
破势 2 8 7 0
破势 2 5 0 6
破势 3 17 3 0
破势 3 14 0 0
破势 3 14 3 0
破势 3 14 3 0
破势 3 14 4 3
破势 3 13 0 0
破势 3 9 4 0
破势 3 8 0 0
破势 3 6 0 8
破势 3 6 11 0
破势 3 6 15 0
破势 3 6 0 6
破势 3 5 3 0
破势 3 5 3 0
破势 3 5 11 0
破势 3 5 0 0
破势 3 5 0 0
破势 4 11 0 3
破势 4 8 4 0
破势 4 8 0 5
破势 4 8 0 3
破势 4 6 15 0
破势 4 6 0 0
破势 4 6 0 0
破势 5 11 3 0
破势 5 11 4 0
破势 5 11 0 3
破势 5 10 4 0
破势 5 10 0 0
破势 5 9 0 0
破势 5 9 0 0
破势 5 8 0 0
破势 5 8 7 0
破势 5 8 0 3
破势 5 6 0 5
破势 5 6 7 0
破势 5 5 0 0
破势 6 5 89 3
破势 6 8 89 0
破势 6 8 89 0
破势 6 3 89 0
网切 1 16 0 0
网切 1 13 0 3
网切 1 13 0 0
网切 1 11 0 3
网切 1 8 0 0
网切 1 8 8 0
网切 1 5 0 3
网切 3 11 0 0
网切 3 11 0 0
网切 3 11 0 3
网切 3 8 0 0
网切 3 8 0 0
网切 3 8 0 0
网切 3 5 0 0
网切 3 5 4 0
网切 4 14 0 0
网切 4 6 0 0
网切 5 11 0 3
网切 5 8 0 0
网切 5 8 4 5
网切 6 0 96 14
三味 1 11 4 3
三味 1 11 0 0
三味 1 11 4 0
三味 1 11 0 0
三味 1 10 4 0
三味 1 10 12 0
三味 1 8 7 0
三味 1 6 4 2
三味 1 6 0 0
三味 1 5 3 0
三味 2 11 0 8
三味 2 11 7 0
三味 2 6 3 6
三味 2 5 8 0
三味 3 13 4 0
三味 3 11 0 0
三味 3 8 0 2
三味 3 5 18 0
三味 4 8 3 0
三味 4 6 4 0
三味 5 13 0 0
三味 5 11 0 0
三味 5 9 3 5
三味 5 9 3 0
三味 5 6 0 2
三味 6 5 89 0
三味 6 9 89 5
三味 6 5 89 0
三味 6 5 89 0

